Prénom;Nom;Spécialité Médicale;Horaires;Source Horaires;URL Source Horaires;Statut Horaires;Commentaire Horaires
DANIELA FLORINA;DEACONU;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
MARINE;DANÈS;Médecine Générale;27 En savoir plus · Horaires · Lun Lundi · 09:00-13:00 de 09:00;annuaire.lefigaro.fr;https://annuaire.lefigaro.fr/annuaire/ville/sainte-marine-29/medecine-generale;Trouvé;Trouvé via snippet
LINE;LEFEVRE-SMEETS;Médecine Générale;Lundi : 09:00 - 13:00, 14:00 - 19:00;www.mablouseblanche.fr;https://www.mablouseblanche.fr/pro/A10005188155/docteur-falcone-marc-olivier-chirurgie-orthopedique-et-traumatologie-paris;Trouvé;Trouvé via snippet
WILLIAM;LEFEVRE;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
BLANDINE;DE TIENDA Y DE ROBERT DE LAFREGEYRE;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
FRANCIS;LEFEBVRE;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
ELISABETH;LEFEBURE;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
CHRISTOPHE;DE SA;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
PIERRICK;LEDOLLEDEC;Médecine Générale;Horaires d'ouverture: Du mardi au samedi de 8 h 30 à 12 h et de 14 h;www.tauves.fr;https://www.tauves.fr/userfile/fichier-telechargement/1630495490-BM-2012.pdf;Trouvé;Trouvé via snippet
BRIGITTE;LECOMTE-DUPLESSIS;Médecine Générale;Lundi 08:00 - 12:00 / 14:00 - 17:00 | Mardi 08:00 - 12:00;www.maiia.com;https://www.maiia.com/medecin-generaliste/51100-reims/lecomte-duplessis-brigitte;Trouvé;Trouvé via snippet
JACQUES;LECLERCQ;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
HANS;LECLERCQ;Médecine Générale;Lundi 08:30-12:00 et 13:00-18:30 | Mardi 08:30-12:00 et 13:00-18:30 | Mercredi Fermé | Jeudi 08:30-12:00 et 14:00-18:30 | Vendredi 08:30-12:00 et 14:00-18:30 | Samedi Fermé | Dimanche Fermé;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Saint-Paul-l?s-Dax-Dr+Hans+Leclercq+-+M?decin+g?n?raliste-5539458Z.html;Trouvé;Trouvé sur la page
VERONIQUE;DE PIERREFEU;Pédiatrie;;;;Non trouvé;Aucun horaire trouvé
MADELEINE;DE MOREL;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
ELSA;LECLERCQ;Médecine Générale;Lundi 14:20-17:20 | Mardi Fermé | Mercredi 09:00-11:40 et 14:20-17:20 | Jeudi 09:00-11:40 et 14:20-17:20 | Vendredi 09:00-11:40 et 14:20-17:20 | Samedi Fermé | Dimanche Fermé;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Entraigues-sur-la-Sorgue-Dr+Elsa+Leclercq+-+M?decin+g?n?raliste-5391841D.html;Trouvé;Trouvé sur la page
PIERRE;LECARPENTIER;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
PABLO;LECAROS DE COSSIO;Médecine Générale;Lundi 16:00-19:00 | Mardi 08:00-11:00 | Mercredi 16:00-19:00 | Jeudi 08:00-11:00 | Vendredi 16:00-19:00 | Samedi Fermé | Dimanche Fermé;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Fegersheim-Dr.+Jacques+Jean+-+M?decine+g?n?rale+(Consultation+libre)-498028F.html;Trouvé;Trouvé sur la page
JEAN MARIE;DE MASSON D'AUTUME;Médecine Générale;Lundi 08:30-12:00 et 14:00-17:00 | Mardi 08:30-12:00 et 14:00-17:00 | Mercredi 08:30-12:00 et 14:00-17:00 | Jeudi 08:30-12:00 et 14:00-17:00 | Vendredi 08:30-12:00 et 14:00-17:00 | Samedi Fermé | Dimanche Fermé;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Villefontaine-Dr+Jean-Marie+de+Masson+d'Autume+-+M?decin+g?n?raliste-4805475O.html;Trouvé;Trouvé sur la page
LOU;LEBRUN;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
JULIETTE;LEBRUN;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
HUBERT;LEBOULANGER;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
CATHERINE;DE CASABIANCA;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
LOUISE;LEBLANC;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
GABRIEL;DE BRAQUILANGES;Médecine Générale;21 hours ago · Les horaires d’ouverture 8h15-12h00 14h00-18h;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Fegersheim-Dr.+Jacques+Jean+-+M?decine+g?n?rale+(Consultation+libre)-498028F.html;Trouvé;Trouvé via snippet
MARIE ODILE;DE BREBISSON;Médecine Générale;binet medicaux sont ouvertes de 8h à 19h du lundi a;www.pagesjaunes.fr;https://www.pagesjaunes.fr/pros/06875755;Trouvé;Trouvé via snippet
ISABELLE;DE BRANCION-FRANCOIS;Médecine Générale;Lundi 16:00-19:00 | Mardi 08:00-11:00 | Mercredi 16:00-19:00 | Jeudi 08:00-11:00 | Vendredi 16:00-19:00 | Samedi Fermé | Dimanche Fermé;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Fegersheim-Dr.+Jacques+Jean+-+M?decine+g?n?rale+(Consultation+libre)-498028F.html;Trouvé;Trouvé sur la page
FLORIAN;DE BOUTEILLER;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
CORINNE;LEBLANC;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
DELPHINE;DE BOISSIEU;Pédiatrie;;;;Non trouvé;Aucun horaire trouvé
